8,1,Çok teşekkür ederim sorunsuz geldi çok beğendim,5,bu ürünü Hepsiburada satıcısından aldı.RenkBej
8,2,Kargolama çok güzeldi kısa zamanda geldi fakat bir tabağı yamuk gönderim yapılırken bakılmıyor mu anlamıyorum bir tabak için de iade ile mi uğraşalım,5,bu ürünü Karaca satıcısından aldı.RenkBej
8,3,"Fincanlar cok guzel 3.ye aliyoruz.. Fincanlari birakalim da biraz hepsi jet ovelim yaa aksam siparisi verdik sabah kapidaydi bir suru urun hem de, jet gibiler jet, diger kargolar sitenin kapisindan daire kapisina bile 2 saatte geliyorlar unutuyorum geldikleri adamlar burda bile hizli ya helal olsun alkisssssss 😄",3,bu ürünü Hepsiburada satıcısından aldı.RenkBej
8,4,"Ürün tasarım olarak harika çok beğendik, kargolama ve paketleme içinde ayrıca teşekkür ederiz; yalnız ikinci fotoda göreceğiniz gibi üretim hatalı fincanlar mevcut, Karaca markasına yakışmıyor, tekstilde çok iyiler ama mutfakta 3 yıldız..",5,bu ürünü Karaca satıcısından aldı.RenkBej
8,5,Fincanlar çok güzel paketleme gayet i,3,bu ürünü Hepsiburada satıcısından aldı.RenkBej
8,6,Ürün guzel paketlenmiş kırık gelmedi ama fincanlarda eksik vardı flamingo yerine iki tane zürafa gönderilmiş  geri iade edemiyorum kupon kullandığım için lütfen daha dikkatli olunuz.,4,bu ürünü Hepsiburada satıcısından aldı.RenkBej
8,7,Cok begendimm tavsiye ederim sağlam geldi,5,bu ürünü Karaca satıcısından aldı.RenkBej
9,1,Benden gören herkes almaya başladı. Çok güzel,5,bu ürünü Karaca satıcısından aldı.RenkBej
9,2,Fincanlar çok güzel paketleme gayet i,4,bu ürünü Hepsiburada satıcısından aldı.RenkBej
9,3,"Harika bir fincan takımı ,6 ‘lı fincan takımının tek desen ya da sade olmasını sevmediğim için bunu tercih ettim iyi ki etmişim ,zamanla insan tek desenden sıkılıyor :(  mutlaka alın derim ayrıca porselen olması da ayrı bir avantaj sağlıyor çok çok memnun kaldım gönül rahatlığıyla sipariş verebilirsiniz",5,bu ürünü Karaca satıcısından aldı.RenkBej
9,4,Ürünü mağaza fiyatiyla karşılaştırarak aldım.370 gibi bir fiyata aldim magazada 500 tl idi.Sorunsuz bir sekilde sağlam gayet güzel gördügüm gibi geldi.Alacak olanlara tavsiyemdir bence hic süphesiz aldın 👍,5,bu ürünü Hepsiburada satıcısından aldı.RenkBej
9,5,Çok şık kibar bir takım kalitesine bayıldım fakat satıcı özensiz davranmış geyik olandan 2 tane yollamış zürafa yok ama ben kullanmaya başladım bile sadece zürafa olandan gönderim yapacaklarını umuyorum çok geç elime ulaştı kırık yoktu sağlam paketlenmisti,5,bu ürünü Hepsiburada satıcısından aldı.RenkBej
9,6,Çok tereddüt ederek aldım defolu olur diye pürüzsüz geldi güzel paketlenmiş kendinden jilatinli olarak çok beğendim çok teşekkür ederim 🙏🏻,5,bu ürünü Hepsiburada satıcısından aldı.RenkBej
9,7,Beğenerek aldım çok güzel,5,bu ürünü Karaca satıcısından aldı.RenkBej
9,8,"Çok güzel, porseleni ince eminim kahve içimi de çok zevkli olacaktır. Çok beğendim teşekkürler",5,"bu ürünü Hepsiburada satıcısından, Eylem Aydın adlı kullanıcının listesinden aldı.RenkBej"
9,9,Çok güzeller kargolama süresi gayet iyiydi kendi kutusu dışında ikinci kutuya konulmuştu,5,"bu ürünü Hepsiburada satıcısından, Mehmet Özkal adlı kullanıcının listesinden aldı.RenkBej"
10,1,Ürün elime kısa sürede ulaştı çok beğendim almak isteyenler hiç düşünmesin bence çok şık ve hoş,5,bu ürünü Hepsiburada satıcısından aldı.RenkBej
10,2,Çok güzel bir seri. Hepsini aldım. Sadece kahve fincanları çay ve yemek takımlarına kıyasla daha ince.,5,bu ürünü Hepsiburada satıcısından aldı.RenkBej
10,3,Dünyanın en güzel fincanı aşık oldum şahaneeeee fiyatı bedava bence bu zamanda,5,bu ürünü Karaca satıcısından aldı.RenkBej
10,4,Çok kaliteli efsane bir fincan,5,bu ürünü Karaca satıcısından aldı.RenkBej
10,5,Göründüğü gibi çok güzel paketleme de çok sağlamdı sorunsuz teslim edildi,5,bu ürünü Karaca satıcısından aldı.RenkBej
